total-place,gender-place,name,time,diff,led,new_old_led,time_diff_from_last_in_prev_new_led_str,time_diff_from_last_in_prev_new_old_led_str
,1,"Syrstad, Torleif (NOR)",03:52:43,+00:00,Elit,Elit,,
,2,"Hoel, Johan (NOR)",03:56:39,+03:56,Elit,Elit,,
,3,"Myhlback, Alvar (SWE)",03:56:42,+03:59,Elit,Elit,,
,4,"Ödegaarden, Thomas (NOR)",03:56:54,+04:11,Elit,Elit,,
,5,"Persson, Emil (SWE)",03:57:42,+04:59,Elit,Elit,,
,6,"Skaug Mathisen, Runar (NOR)",03:58:01,+05:18,Elit,Elit,,
,7,"Nygaard, Andreas (NOR)",03:58:03,+05:20,Elit,Elit,,
,8,"Kardin, Oskar (SWE)",03:58:04,+05:21,Elit,Elit,,
,9,"Jutterström, Axel (SWE)",03:59:45,+07:02,Elit,Elit,,
,10,"Eide Pedersen, Morten (NOR)",03:59:46,+07:03,Elit,Elit,,
,11,"Novak, Max (SWE)",04:01:00,+08:17,Elit,Elit,,
,12,"Holden, Haakon (NOR)",04:01:00,+08:17,Elit,Elit,,
,13,"Bruvoll, Ole Jørgen (NOR)",04:01:30,+08:47,Elit,Elit,,
,14,"Stakston, Petter (NOR)",04:01:31,+08:48,Elit,Elit,,
,15,"Hoel, Amund (NOR)",04:01:31,+08:48,Elit,Elit,,
,16,"Edström, Eddie (SWE)",04:01:31,+08:48,Elit,Elit,,
,17,"Stadaas, Kasper (NOR)",04:01:31,+08:48,Elit,Elit,,
,18,"Northug Jr, Petter (NOR)",04:01:35,+08:52,Elit,Elit,,
,19,"Johaug, Karstein (NOR)",04:02:08,+09:25,Elit,Elit,,
,20,"Tjelle, Johan (NOR)",04:02:08,+09:25,Elit,Elit,,
,21,"Eriksson, Gustav (SWE)",04:02:19,+09:36,Elit,Elit,,
,22,"Augdal, Eirik Sverdrup (NOR)",04:02:19,+09:36,Elit,Elit,,
,23,"Johansson, Marcus (SWE)",04:03:42,+10:59,Elit,Elit,,
,24,"Noeckler, Dietmar (ITA)",04:03:42,+10:59,Elit,Elit,,
,25,"Andersson, Joel (SWE)",04:03:44,+11:01,Elit,Elit,,
,26,"Kalland-Olsen, Einar (NOR)",04:06:37,+13:54,Elit,Elit,,
,27,"Fossum Kristoffersen, Patrick (NOR)",04:06:58,+14:15,Elit,Elit,,
,28,"Nilsson, Klas (SWE)",04:07:06,+14:23,Elit,Elit,,
,29,"Riege, Amund (NOR)",04:07:11,+14:28,Elit,Elit,,
,30,"Elvseth, Anton (NOR)",04:07:20,+14:37,Elit,Elit,,
,31,"Vesterheim, Magnus (NOR)",04:07:45,+15:02,Elit,Elit,,
,32,"Dahlsten, Nils (SWE)",04:07:49,+15:06,Elit,Elit,,
,33,"Buskqvist, Alfred (SWE)",04:08:08,+15:25,Elit,Elit,,
,34,"Eklöf, Johannes (SWE)",04:08:11,+15:28,Elit,Elit,,
,35,"Bing, Thomas (GER)",04:08:41,+15:58,Elit,Elit,,
,36,"Paus, Herman (NOR)",04:10:22,+17:39,Elit,Elit,,
,37,"Joly, Thomas (FRA)",04:12:33,+19:50,Elit,Elit,,
,38,"Thele, Joar Andreas (NOR)",04:12:33,+19:50,Elit,Elit,,
,39,"Bie, Maximilian (NOR)",04:12:33,+19:50,Elit,Elit,,
,40,"Holmström, Isac (ALA)",04:12:40,+19:57,Elit,Elit,,
,41,"Dettmann, Bruno (SWE)",04:13:00,+20:17,Elit,Elit,,
,42,"Berglund, Gustaf (SWE)",04:13:30,+20:47,Elit,Elit,,
,43,"Sedlacek, Vaclav (CZE)",04:14:03,+21:20,Elit,Elit,,
,44,"Hoelgaard, Stian (NOR)",04:15:05,+22:22,Elit,Elit,,
,45,"Bergan, Sivert H (NOR)",04:15:16,+22:33,Elit,Elit,,
,46,"Rolke, Hans Petter (NOR)",04:15:16,+22:33,Elit,Elit,,
,47,"Syverinsen, Henrik Haugland (NOR)",04:15:21,+22:38,Elit,Elit,,
,48,"Joks, Henrik Arntzen (NOR)",04:17:54,+25:11,Elit,Elit,,
,49,"Lie, Henning (NOR)",04:17:54,+25:11,Elit,Elit,,
,50,"Fuglehaug Ekrem, Ole Eirik (NOR)",04:17:56,+25:13,Elit,Elit,,
,51,"Skinstad, Petter Soleng (NOR)",04:18:32,+25:49,Elit,Elit,,
,52,"Gjerdalen, Tord Asle (NOR)",04:18:45,+26:02,Elit,Elit,,
,53,"Armelini, Mattia (ITA)",04:18:46,+26:03,Elit,Elit,,
,54,"Belorgey, Yan (FRA)",04:18:47,+26:04,Elit,Elit,,
,55,"Ramstad, Simen (NOR)",04:18:54,+26:11,Elit,Elit,,
,56,"Höst, Anders (NOR)",04:19:02,+26:19,Elit,Elit,,
,57,"Hallén Johansson, Markus (SWE)",04:19:03,+26:20,Elit,Elit,,
,58,"Struebel, Josua (GER)",04:19:04,+26:21,Elit,Elit,,
,59,"Westberg, Karl-Johan (SWE)",04:19:15,+26:32,Elit,Elit,,
,60,"Tolo, Henrik Vik (NOR)",04:19:28,+26:45,Elit,Elit,,
,61,"Bucher Johannessen, Thomas (NOR)",04:19:43,+27:00,Elit,Elit,,
,62,"Ericsson, Rickard (SWE)",04:19:44,+27:01,Elit,Elit,,
,63,"Ferrari, Francesco (ITA)",04:19:48,+27:05,Elit,Elit,,
,64,"Hovland, Torgeir Sulen (NOR)",04:19:54,+27:11,Elit,Elit,,
,65,"Mattson, Myhr Konrad (SWE)",04:20:18,+27:35,Elit,Elit,,
,66,"Rosjö, Filip (SWE)",04:20:25,+27:42,Elit,Elit,,
,67,"Bohaty, Ales (CZE)",04:20:38,+27:55,Elit,Elit,,
,68,"Nilsson, Alfred (SWE)",04:21:17,+28:34,Elit,Elit,,
,69,"Öberg, Simon (SWE)",04:21:43,+29:00,Elit,Elit,,
,70,"Mich, Stefano (ITA)",04:21:45,+29:02,Elit,Elit,,
,71,"Räsänen, Veli-Matti (FIN)",04:21:49,+29:06,Elit,Elit,,
,72,"Thyli, Vetle (NOR)",04:22:07,+29:24,Elit,Elit,,
,73,"Korböl Thoner, Halvor (NOR)",04:22:08,+29:25,Elit,Elit,,
,74,"Dal Magro, Stefano (ITA)",04:22:09,+29:26,Elit,Elit,,
,75,"Tyrväinen, Olli (FIN)",04:22:14,+29:31,Elit,Elit,,
,76,"Juursalu, Andres (EST)",04:22:17,+29:34,Elit,Elit,,
,77,"Berger, Lars (NOR)",04:22:21,+29:38,Elit,Elit,,
,78,"Busin, Lorenzo (ITA)",04:23:12,+30:29,Elit,Elit,,
,79,"Mäenpää, Viktor (FIN)",04:23:19,+30:36,Elit,Elit,,
,80,"Rosenberg, Ossian (SWE)",04:24:13,+31:30,Elit,Elit,,
,81,"Stenström, Hannes (SWE)",04:24:15,+31:32,Elit,Elit,,
,82,"Hilmersson, Hugo (SWE)",04:24:22,+31:39,Elit,Elit,,
,83,"Olsen, Kasper (SWE)",04:24:26,+31:43,Elit,Elit,,
,84,"Ahlberger, Martin (SWE)",04:24:36,+31:53,Elit,Elit,,
,85,"Stocek, Fabian (CZE)",04:25:10,+32:27,Elit,Elit,,
,86,"Juhanoja, Lassi (FIN)",04:25:16,+32:33,Elit,Elit,,
,87,"Åhman, Tobias (SWE)",04:25:17,+32:34,Elit,Elit,,
,88,"Nilsson, Tobias (SWE)",04:25:35,+32:52,Elit,Elit,,
,89,"Kleivi, Halvor (NOR)",04:25:45,+33:02,Elit,Elit,,
,90,"Sjöberg, Nils (SWE)",04:25:57,+33:14,Elit,Elit,,
,91,"Andersson, Albin (SWE)",04:25:58,+33:15,Elit,Elit,,
,92,"Fosnæs, Eirik (NOR)",04:25:58,+33:15,Elit,Elit,,
,93,"Holter, Tobias Houge (NOR)",04:26:03,+33:20,Elit,Elit,,
,94,"Haugsbø, André (NOR)",04:26:07,+33:24,Elit,Elit,,
,95,"Mäkelä, Juuso (FIN)",04:26:20,+33:37,Elit,Elit,,
,96,"Pfäffli, Gian Flurin (SUI)",04:27:00,+34:17,Elit,Elit,,
,97,"Sollien Hulbak, Ole (NOR)",04:27:02,+34:19,Elit,Elit,,
,98,"Lundberg, Adrian (SWE)",04:27:12,+34:29,Elit,Elit,,
,99,"Strid, Gabriel (SWE)",04:27:13,+34:30,Elit,Elit,,
,100,"Svahn, Sebastian (SWE)",04:28:06,+35:23,Elit,Elit,,
,101,"Rezac, Stanislav (CZE)",04:28:38,+35:55,Elit,Elit,,
,102,"Walseth, Ørjan (NOR)",04:28:48,+36:05,Elit,Elit,,
,103,"Hallin, Pierre (SWE)",04:28:48,+36:05,Elit,Elit,,
,104,"Holmgren, Daniel (SWE)",04:28:48,+36:05,Elit,Elit,,
,105,"Hulbak, Sigurd Sollien (NOR)",04:28:49,+36:06,Elit,Elit,,
,106,"Ponti, Giacomo (ITA)",04:28:53,+36:10,Elit,Elit,,
,107,"Jansson, Linus (SWE)",04:28:54,+36:11,Elit,Elit,,
,108,"Ronneback, Joachim (SWE)",04:28:54,+36:11,Elit,Elit,,
,109,"Karlsson, Jakob (SWE)",04:28:54,+36:11,Elit,Elit,,
,110,"Svendby, Stian Roti (NOR)",04:29:02,+36:19,Elit,Elit,,
,111,"Löfgren, Jim (SWE)",04:29:22,+36:39,Elit,Elit,,
,112,"Janovskis Heldal, Gustav (NOR)",04:29:42,+36:59,Elit,Elit,,
,113,"Lorenzi, Christian (ITA)",04:30:51,+38:08,Elit,Elit,,
,114,"Steen, Adam (SWE)",04:30:52,+38:09,Elit,Elit,,
,115,"Gjertveit, Christian (NOR)",04:30:52,+38:09,Elit,Elit,,
,116,"Wickström, Erik (SWE)",04:30:52,+38:09,Elit,Elit,,
,117,"Ahnbrink, Oskar (SWE)",04:31:09,+38:26,Elit,Elit,,
,118,"Baumann, Halfdan Thomas (NOR)",04:31:20,+38:37,Elit,Elit,,
