total-place,gender-place,name,time,diff
,1,"Syrstad, Torleif (NOR)",03:52:43,+00:00
,2,"Hoel, Johan (NOR)",03:56:39,+03:56
,3,"Myhlback, Alvar (SWE)",03:56:42,+03:59
,4,"Ödegaarden, Thomas (NOR)",03:56:54,+04:11
,5,"Persson, Emil (SWE)",03:57:42,+04:59
,6,"Skaug Mathisen, Runar (NOR)",03:58:01,+05:18
,7,"Nygaard, Andreas (NOR)",03:58:03,+05:20
,8,"Kardin, Oskar (SWE)",03:58:04,+05:21
,9,"Jutterström, Axel (SWE)",03:59:45,+07:02
,10,"Eide Pedersen, Morten (NOR)",03:59:46,+07:03
,11,"Novak, Max (SWE)",04:01:00,+08:17
,12,"Holden, Haakon (NOR)",04:01:00,+08:17
,13,"Bruvoll, Ole Jørgen (NOR)",04:01:30,+08:47
,14,"Stakston, Petter (NOR)",04:01:31,+08:48
,15,"Hoel, Amund (NOR)",04:01:31,+08:48
,16,"Edström, Eddie (SWE)",04:01:31,+08:48
,17,"Stadaas, Kasper (NOR)",04:01:31,+08:48
,18,"Northug Jr, Petter (NOR)",04:01:35,+08:52
,19,"Johaug, Karstein (NOR)",04:02:08,+09:25
,20,"Tjelle, Johan (NOR)",04:02:08,+09:25
,21,"Eriksson, Gustav (SWE)",04:02:19,+09:36
,22,"Augdal, Eirik Sverdrup (NOR)",04:02:19,+09:36
,23,"Johansson, Marcus (SWE)",04:03:42,+10:59
,24,"Noeckler, Dietmar (ITA)",04:03:42,+10:59
,25,"Andersson, Joel (SWE)",04:03:44,+11:01
,26,"Kalland-Olsen, Einar (NOR)",04:06:37,+13:54
,27,"Fossum Kristoffersen, Patrick (NOR)",04:06:58,+14:15
,28,"Nilsson, Klas (SWE)",04:07:06,+14:23
,29,"Riege, Amund (NOR)",04:07:11,+14:28
,30,"Elvseth, Anton (NOR)",04:07:20,+14:37
,31,"Vesterheim, Magnus (NOR)",04:07:45,+15:02
,32,"Dahlsten, Nils (SWE)",04:07:49,+15:06
,33,"Buskqvist, Alfred (SWE)",04:08:08,+15:25
,34,"Eklöf, Johannes (SWE)",04:08:11,+15:28
,35,"Bing, Thomas (GER)",04:08:41,+15:58
,36,"Paus, Herman (NOR)",04:10:22,+17:39
,37,"Joly, Thomas (FRA)",04:12:33,+19:50
,38,"Thele, Joar Andreas (NOR)",04:12:33,+19:50
,39,"Bie, Maximilian (NOR)",04:12:33,+19:50
,40,"Holmström, Isac (ALA)",04:12:40,+19:57
,41,"Dettmann, Bruno (SWE)",04:13:00,+20:17
,42,"Berglund, Gustaf (SWE)",04:13:30,+20:47
,43,"Sedlacek, Vaclav (CZE)",04:14:03,+21:20
,44,"Hoelgaard, Stian (NOR)",04:15:05,+22:22
,45,"Bergan, Sivert H (NOR)",04:15:16,+22:33
,46,"Rolke, Hans Petter (NOR)",04:15:16,+22:33
,47,"Syverinsen, Henrik Haugland (NOR)",04:15:21,+22:38
,48,"Joks, Henrik Arntzen (NOR)",04:17:54,+25:11
,49,"Lie, Henning (NOR)",04:17:54,+25:11
,50,"Fuglehaug Ekrem, Ole Eirik (NOR)",04:17:56,+25:13
,51,"Skinstad, Petter Soleng (NOR)",04:18:32,+25:49
,52,"Gjerdalen, Tord Asle (NOR)",04:18:45,+26:02
,53,"Armelini, Mattia (ITA)",04:18:46,+26:03
,54,"Belorgey, Yan (FRA)",04:18:47,+26:04
,55,"Ramstad, Simen (NOR)",04:18:54,+26:11
,56,"Höst, Anders (NOR)",04:19:02,+26:19
