total-place,gender-place,name,time,diff
,1,"Fleten, Emilie (NOR)",04:23:06,+00:00
,2,"Smedås, Magni (NOR)",04:25:59,+02:53
,3,"Roivas, Kati (FIN)",04:26:31,+03:25
,4,"Hedenström, Karolina (SWE)",04:39:03,+15:57
,5,"Dahl, Ida (SWE)",04:39:27,+16:21
,6,"Lodin, Hanna (SWE)",04:39:36,+16:30
,7,"Elebro, Sofie (SWE)",04:41:08,+18:02
,8,"Johansson, Linnea (SWE)",04:41:50,+18:44
,9,"Stoestad, Julie Kvale (NOR)",04:44:12,+21:06
,10,"Larsson, Jenny (SWE)",04:47:08,+24:02
,11,"Ericsson, Tove (SWE)",04:48:34,+25:28
,12,"Ishida, Masako (JPN)",04:49:27,+26:21
,13,"Engeskaug Nielsen, Maren (NOR)",04:50:49,+27:43
,14,"Stolpe, Anja (SWE)",04:54:32,+31:26
,15,"Jönsson Haag, Anna (SWE)",04:55:02,+31:56
,16,"Kettunen, Oona (FIN)",04:55:12,+32:06
,17,"Hansen, Hanna Sandholt (NOR)",04:57:21,+34:15
,18,"Naess, Karoline (NOR)",04:58:19,+35:13
,19,"Palmberg, Ida (SWE)",04:58:28,+35:22
,20,"Nyfors, Amanda (FIN)",04:58:53,+35:47
,21,"Midtskogen, Maiken Min (NOR)",04:59:03,+35:57
,22,"Sorum Gangso, Marie Renee (NOR)",05:01:49,+38:43
,23,"Angelsiöö, Julia (SWE)",05:01:57,+38:51
,24,"Lie Stoverud, Solveig (NOR)",05:02:40,+39:34
,25,"Hallquist, Frida (SWE)",05:03:47,+40:41
,26,"Nordseth, Karen Amalie (NOR)",05:05:40,+42:34
,27,"Lindberg, Sofia (SWE)",05:07:07,+44:01
,28,"Moeller Endresen, Fanny Marie (NOR)",05:07:16,+44:10
,29,"Flochon-Joly, Laurie (FRA)",05:09:45,+46:39
,30,"Virtanen, Niina (FIN)",05:10:08,+47:02
,31,"Stefansson, Maja (SWE)",05:11:28,+48:22
,32,"Patscheider, Michaela (ITA)",05:12:01,+48:55
,33,"Nerdrum, Oda (NOR)",05:13:31,+50:25
,34,"Björnsdotter, Alba (SWE)",05:14:06,+51:00
,35,"Ivarsson, Emma (SWE)",05:14:07,+51:01
,36,"Huovinen, Anni (FIN)",05:14:20,+51:14
,37,"Müller, Franziska (GER)",05:15:41,+52:35
,38,"Richon, Capucine (FRA)",05:15:55,+52:49
,39,"Skulbru, Hanne (NOR)",05:17:24,+54:18
,40,"Heikki, Maja (SWE)",05:21:39,+58:33
,41,"Hejna, Anna-Marie (CZE)",05:23:09,+01:00:03
,42,"Christin, Suzette (FRA)",05:23:16,+01:00:10
,43,"Broers, Camilla (NOR)",05:24:31,+01:01:25
,44,"Andersson, Tova (SWE)",05:24:39,+01:01:33
,45,"Jordheim, Guro (NOR)",05:25:17,+01:02:11
,46,"Jürisaar, Merlini (EST)",05:27:45,+01:04:39
,47,"Faivre, Solene (SUI)",05:27:52,+01:04:46
,48,"Hagavold Temte, Elin (NOR)",05:30:55,+01:07:49
,49,"Melin, Madelene (SWE)",05:31:09,+01:08:03
,50,"Löf, Hilda (SWE)",05:31:35,+01:08:29
,51,"Olsson, Caroline (SWE)",05:31:41,+01:08:35
,52,"Ramstedt, Jenny (SWE)",05:31:48,+01:08:42
,53,"Halås, Aud Øyen (NOR)",05:34:35,+01:11:29
,54,"Lindgren, Anna (SWE)",05:35:14,+01:12:08
,55,"Bicova, Karolina (CZE)",05:37:46,+01:14:40
,56,"Nord, Madelene (SWE)",05:37:54,+01:14:48
,57,"Velicer, Sophia (SUI)",05:38:55,+01:15:49
,58,"Hoftun, Ingeborg (NOR)",05:42:15,+01:19:09
,59,"Hansson, Olivia (SWE)",05:42:53,+01:19:47
,60,"Schicho, Elisabeth (GER)",05:43:41,+01:20:35
,61,"Grissbaum, Luisa (GER)",05:43:46,+01:20:40
